Timestamp,Value
2025-04-11 23:37:22.052,1951
2025-04-11 23:37:22.108,1942
2025-04-11 23:37:22.109,1936
2025-04-11 23:37:22.109,1979
2025-04-11 23:37:22.175,1952
2025-04-11 23:37:22.175,1991
2025-04-11 23:37:22.175,1962
2025-04-11 23:37:22.219,1975
2025-04-11 23:37:22.220,1958
2025-04-11 23:37:22.273,1954
2025-04-11 23:37:22.290,1936
2025-04-11 23:37:22.290,1969
2025-04-11 23:37:22.345,1941
2025-04-11 23:37:22.345,1994
2025-04-11 23:37:22.345,1978
2025-04-11 23:37:22.391,2011
2025-04-11 23:37:22.391,1977
2025-04-11 23:37:22.465,1953
2025-04-11 23:37:22.465,1968
2025-04-11 23:37:22.465,2000
2025-04-11 23:37:22.501,1970
2025-04-11 23:37:22.501,1939
2025-04-11 23:37:22.501,1938
2025-04-11 23:37:22.559,1957
2025-04-11 23:37:22.559,1971
2025-04-11 23:37:22.647,1949
2025-04-11 23:37:22.647,1958
2025-04-11 23:37:22.647,1950
2025-04-11 23:37:22.681,1983
2025-04-11 23:37:22.681,1944
2025-04-11 23:37:22.681,1947
2025-04-11 23:37:22.756,1968
2025-04-11 23:37:22.756,1969
2025-04-11 23:37:22.756,1977
2025-04-11 23:37:22.785,1974
2025-04-11 23:37:22.785,1968
2025-04-11 23:37:22.852,1962
2025-04-11 23:37:22.852,1953
2025-04-11 23:37:22.852,1949
2025-04-11 23:37:22.897,1920
2025-04-11 23:37:22.897,1975
2025-04-11 23:37:22.897,1988
2025-04-11 23:37:22.957,1968
2025-04-11 23:37:22.957,1948
2025-04-11 23:37:23.029,1968
2025-04-11 23:37:23.030,1954
2025-04-11 23:37:23.030,1980
2025-04-11 23:37:23.064,1941
2025-04-11 23:37:23.065,2000
2025-04-11 23:37:23.065,1996
2025-04-11 23:37:23.120,1964
2025-04-11 23:37:23.122,1947
2025-04-11 23:37:23.176,1935
2025-04-11 23:37:23.176,1933
2025-04-11 23:37:23.179,1971
2025-04-11 23:37:23.232,1953
2025-04-11 23:37:23.232,2017
2025-04-11 23:37:23.233,1997
2025-04-11 23:37:23.291,1984
2025-04-11 23:37:23.297,1933
2025-04-11 23:37:23.349,1927
2025-04-11 23:37:23.350,1905
2025-04-11 23:37:23.350,1963
2025-04-11 23:37:23.403,1920
2025-04-11 23:37:23.403,1968
2025-04-11 23:37:23.403,1941
2025-04-11 23:37:23.458,1979
2025-04-11 23:37:23.458,1932
2025-04-11 23:37:23.525,1936
2025-04-11 23:37:23.525,1936
2025-04-11 23:37:23.525,1969
2025-04-11 23:37:23.574,1991
2025-04-11 23:37:23.632,1984
2025-04-11 23:37:23.633,1943
2025-04-11 23:37:23.633,1969
2025-04-11 23:37:23.633,1933
2025-04-11 23:37:23.702,1964
2025-04-11 23:37:23.702,1914
2025-04-11 23:37:23.702,1949
2025-04-11 23:37:23.753,1959
2025-04-11 23:37:23.753,1980
2025-04-11 23:37:23.753,1973
2025-04-11 23:37:23.808,1968
2025-04-11 23:37:23.808,1936
2025-04-11 23:37:23.851,1966
2025-04-11 23:37:23.851,1936
2025-04-11 23:37:23.851,1968
2025-04-11 23:37:23.916,1982
2025-04-11 23:37:23.916,1966
2025-04-11 23:37:23.916,1964
2025-04-11 23:37:23.987,1963
2025-04-11 23:37:23.988,1974
2025-04-11 23:37:24.023,1920
2025-04-11 23:37:24.023,1915
2025-04-11 23:37:24.023,1926
2025-04-11 23:37:24.097,1318
2025-04-11 23:37:24.097,2546
2025-04-11 23:37:24.097,321
2025-04-11 23:37:24.148,1895
2025-04-11 23:37:24.148,2029
2025-04-11 23:37:24.207,2122
2025-04-11 23:37:24.207,2022
2025-04-11 23:37:24.207,1987
2025-04-11 23:37:24.244,1997
2025-04-11 23:37:24.245,2013
2025-04-11 23:37:24.245,2000
2025-04-11 23:37:24.301,1959
2025-04-11 23:37:24.301,1968
2025-04-11 23:37:24.302,1937
2025-04-11 23:37:24.369,1981
2025-04-11 23:37:24.369,1936
2025-04-11 23:37:24.415,1970
2025-04-11 23:37:24.415,1945
2025-04-11 23:37:24.416,1986
2025-04-11 23:37:24.491,1927
2025-04-11 23:37:24.491,1955
2025-04-11 23:37:24.491,1943
2025-04-11 23:37:24.531,1969
2025-04-11 23:37:24.531,1945
2025-04-11 23:37:24.600,1949
2025-04-11 23:37:24.600,1953
2025-04-11 23:37:24.601,1983
2025-04-11 23:37:24.665,1957
2025-04-11 23:37:24.665,1978
2025-04-11 23:37:24.665,1963
2025-04-11 23:37:24.702,1979
2025-04-11 23:37:24.702,1939
2025-04-11 23:37:24.760,1952
2025-04-11 23:37:24.761,1952
2025-04-11 23:37:24.761,1946
2025-04-11 23:37:24.831,1933
2025-04-11 23:37:24.831,1936
2025-04-11 23:37:24.831,1959
2025-04-11 23:37:24.864,1957
2025-04-11 23:37:24.864,1988
2025-04-11 23:37:24.935,1935
2025-04-11 23:37:24.935,1971
2025-04-11 23:37:24.936,1947
2025-04-11 23:37:25.053,1957
2025-04-11 23:37:25.053,1924
2025-04-11 23:37:25.053,1959
2025-04-11 23:37:25.053,1949
2025-04-11 23:37:25.053,1972
2025-04-11 23:37:25.088,1980
2025-04-11 23:37:25.089,1997
2025-04-11 23:37:25.089,1996
2025-04-11 23:37:25.145,1967
2025-04-11 23:37:25.146,1962
2025-04-11 23:37:25.146,1962
2025-04-11 23:37:25.206,1937
2025-04-11 23:37:25.206,1978
2025-04-11 23:37:25.257,1997
2025-04-11 23:37:25.257,1968
2025-04-11 23:37:25.258,1943
2025-04-11 23:37:25.313,1969
2025-04-11 23:37:25.314,1937
2025-04-11 23:37:25.315,1947
2025-04-11 23:37:25.370,1939
2025-04-11 23:37:25.370,1975
2025-04-11 23:37:25.427,1937
2025-04-11 23:37:25.428,1953
2025-04-11 23:37:25.428,1969
2025-04-11 23:37:25.479,1967
2025-04-11 23:37:25.541,1938
2025-04-11 23:37:25.541,1965
2025-04-11 23:37:25.541,1922
2025-04-11 23:37:25.542,1985
2025-04-11 23:37:25.542,1851
2025-04-11 23:37:25.622,2026
2025-04-11 23:37:25.622,1989
2025-04-11 23:37:25.651,1855
2025-04-11 23:37:25.652,1921
2025-04-11 23:37:25.654,1859
2025-04-11 23:37:25.709,1935
2025-04-11 23:37:25.711,2000
2025-04-11 23:37:25.713,2000
2025-04-11 23:37:25.784,2002
